attack_auc,attack_accuracy,epsilon_level,mode,seed
0.50328125,0.503125,inf,uniform,42
0.50716064453125,0.48828125,inf,uniform,123
0.5183935546875,0.5109375,inf,uniform,7
0.52248046875,0.51015625,10.0,uniform,42
0.51236083984375,0.51953125,10.0,uniform,123
0.51460693359375,0.50703125,10.0,uniform,7
0.5055175781250001,0.50859375,5.0,uniform,42
0.51126220703125,0.50703125,5.0,uniform,123
0.50299072265625,0.5046875,5.0,uniform,7
0.51610107421875,0.52421875,2.0,uniform,42
0.51733154296875,0.51640625,2.0,uniform,123
0.507109375,0.503125,2.0,uniform,7
0.51677978515625,0.5109375,1.0,uniform,42
0.48532958984375,0.4875,1.0,uniform,123
0.5025512695312501,0.51328125,1.0,uniform,7
0.4987890625,0.48828125,0.5,uniform,42
0.4969677734375,0.4984375,0.5,uniform,123
0.496923828125,0.50625,0.5,uniform,7
0.49013671875,0.47890625,5.0,stratified,42
0.5034423828125,0.49296875,5.0,stratified,123
0.5070703125,0.5171875,5.0,stratified,7
