task,accuracy,auroc,epsilon_level,mode,seed
ihm,0.894375,0.7803629137496929,inf,uniform,42
pheno,0.0378125,0.6197609607920103,inf,uniform,42
ihm,0.89625,0.7857919391734218,inf,uniform,123
pheno,0.035625,0.617881291279604,inf,uniform,123
ihm,0.8940625,0.7825065056190126,inf,uniform,7
pheno,0.036875,0.6186702127914306,inf,uniform,7
ihm,0.893125,0.7925412790162122,10.0,uniform,42
pheno,0.0396875,0.5986709842097722,10.0,uniform,42
ihm,0.8909375,0.7819902780336527,10.0,uniform,123
pheno,0.0396875,0.5996190073330107,10.0,uniform,123
ihm,0.8921875,0.7767675517379022,10.0,uniform,7
pheno,0.0403125,0.5896476615453042,10.0,uniform,7
ihm,0.8940625,0.7785906603107344,5.0,uniform,42
pheno,0.0396875,0.5911539306399143,5.0,uniform,42
ihm,0.8934375,0.7821370862503072,5.0,uniform,123
pheno,0.04,0.5928645334718557,5.0,uniform,123
ihm,0.8925,0.7902988554716285,5.0,uniform,7
pheno,0.0396875,0.5946981564345196,5.0,uniform,7
ihm,0.8934375,0.7673622305637435,2.0,uniform,42
pheno,0.0396875,0.5886223879972184,2.0,uniform,42
ihm,0.8921875,0.7731088606914762,2.0,uniform,123
pheno,0.04,0.5721273885857849,2.0,uniform,123
ihm,0.8928125,0.7848918992569394,2.0,uniform,7
pheno,0.0396875,0.5908694609415048,2.0,uniform,7
ihm,0.893125,0.7644903547961188,1.0,uniform,42
pheno,0.04,0.5703237680784562,1.0,uniform,42
ihm,0.885,0.6385567313006633,1.0,uniform,123
pheno,0.04,0.5576205010142086,1.0,uniform,123
ihm,0.885,0.5741309529292558,1.0,uniform,7
pheno,0.04,0.5594357617367915,1.0,uniform,7
ihm,0.885,0.4558793332412184,0.5,uniform,42
pheno,0.04,0.551924374191366,0.5,uniform,42
ihm,0.885,0.4937040384733481,0.5,uniform,123
pheno,0.04,0.5486082467371763,0.5,uniform,123
ihm,0.885,0.5448470315954311,0.5,uniform,7
pheno,0.04,0.5495410903003259,0.5,uniform,7
ihm,0.89125,0.7724669345676738,5.0,stratified,42
pheno,0.04,0.5725107965046794,5.0,stratified,42
ihm,0.8928125,0.7877532201854581,5.0,stratified,123
pheno,0.04,0.5599715781495823,5.0,stratified,123
ihm,0.895625,0.7800453090456888,5.0,stratified,7
pheno,0.04,0.5478723835749463,5.0,stratified,7
