epsilon_level,seed,mode,delta_m,eta_priv,eta_comm,pcmu,r,r_ref,auroc_ihm,auroc_decomp,auroc_pheno
0.5,7,uniform,-0.06211280089191398,0.7973503025597425,0.5596157879354227,0.7479913519170274,8,6.0,0.5638522080163673,0.5950316720792872,0.5540172491846703
0.5,42,uniform,-0.0669217969852227,0.7841415912163353,1.9459101490553132,1.124980787768259,1,6.0,0.5644432393347795,0.5650717265354651,0.5521899011957806
0.5,123,uniform,-0.06930984497512863,0.7767616944140316,1.9459101490553132,1.1204829037917639,1,6.0,0.5501714365684697,0.5679866648358491,0.5534234986455653
1.0,7,uniform,-0.05754114645261538,0.6380281179219408,0.5108256237659906,0.6747221440167115,9,6.0,0.5660226549510015,0.6197748520177844,0.5559435631565164
1.0,42,uniform,-0.014085408292221555,0.7418491487362063,0.13976194237515863,0.4675714030261489,40,6.0,0.7718677422686939,0.6216274903642582,0.5574923372020771
1.0,123,uniform,-0.05529668669835635,0.643974236847567,1.3862943611198906,0.9447998074943968,2,6.0,0.5899737930299123,0.6037802124812793,0.5537999263811959
2.0,7,uniform,-0.014021784015082786,0.5552574096332089,0.16251892949777494,0.44643189186633603,34,6.0,0.7832377020502412,0.5931838236624654,0.5778874477744501
2.0,42,uniform,-0.019217721799987448,0.5467795567053882,0.2151113796169455,0.48679871301236366,25,6.0,0.7822397379636201,0.5636241033517798,0.5749560886329662
2.0,123,uniform,-0.02052460643316932,0.5448524000050237,0.24116205681688804,0.5048865396782205,22,6.0,0.7870646194241464,0.5487684026436154,0.575273015329238
5.0,7,uniform,-0.007213856411471389,0.34770787190620506,0.4054651081081644,0.5192078369818582,12,6.0,0.8032569615908781,0.605708425273372,0.5839174551293688
5.0,42,uniform,0.002021331707303129,0.3567734556084668,0.3566749439387324,0.5033236853932544,14,6.0,0.803640986168451,0.6677891068484285,0.5777594560266825
5.0,123,uniform,-0.014091403386793563,0.3407381168377133,0.4054651081081644,0.5145216099618158,12,6.0,0.7944852071400249,0.5723236800284415,0.5860896832857478
10.0,7,uniform,-0.010880202444457589,0.2170550114287958,0.3566749439387324,0.42464932476723005,14,6.0,0.8049709107630177,0.5854087034086204,0.5763121754601397
10.0,42,uniform,0.0007028608134007286,0.22436278274220686,0.3184537311185346,0.4150503332899094,16,6.0,0.8025255655407499,0.6521808549705099,0.5906573563747526
10.0,123,uniform,0.0009453901610176747,0.22447471409282208,0.4054651081081644,0.44996330643361376,12,6.0,0.7976365411464426,0.657693531785441,0.5943172464044243
inf,7,uniform,0.015893539250939927,,0.6931471805599453,,6,6.0,0.8001880970707504,0.7298767072107601,0.6223413541308773
inf,42,uniform,0.003327287078732297,,0.9162907318741551,,4,6.0,0.8017125330294459,0.6500738181380799,0.6198410006931873
inf,123,uniform,0.014143652626462331,,0.5596157879354227,,8,6.0,0.7991343203014885,0.7277233677250282,0.6112428682197543
