task_config,n_active_tasks,seed,delta_m,auroc_ihm,auroc_decomp,auroc_pheno
all_tasks,3,7,0.0159,0.8001880970707504,0.7298767072107601,0.6223413541308773
all_tasks,3,42,0.0033,0.8017125330294459,0.6500738181380799,0.6198410006931873
all_tasks,3,123,0.0141,0.7991343203014885,0.7277233677250282,0.6112428682197543
ihm_decomp,2,7,0.0298,0.8001880970707504,0.7298767072107601,0.6194537247849446
ihm_decomp,2,42,0.0067,0.8017125330294459,0.6500738181380799,0.6198410006931873
ihm_decomp,2,123,0.0287,0.7991343203014885,0.7277233677250282,0.6112428682197543
ihm_only,1,7,0.0084,0.8046397832801864,0.5234663975790631,0.5108161085639239
ihm_only,1,42,-0.0024,0.7960104761238342,0.4940157812215598,0.5039119605581084
ihm_only,1,123,-0.0061,0.7930715635214971,0.4927554975087044,0.5091538790562918
ihm_pheno,2,7,-0.0025,0.7935680464894657,0.6311514671554525,0.6197102576836556
ihm_pheno,2,42,0.0019,0.8018370702839948,0.4493816200819397,0.6226412722457757
ihm_pheno,2,123,0.0028,0.8037476133830483,0.5059272718370231,0.6229011303687074
