embed_dim,epsilon_level,task_config,task_count,seed,sigma,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc,convergence_round,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno
128,inf,all_tasks,3,42,,0.7934167985453293,0.6888985596443203,0.6141234688591735,5,0.00047647628312742036,-0.0034011380005334584,0.0009636849806569484
64,inf,all_tasks,3,42,,0.7869333563081834,0.6969994120997225,0.6197557672318594,3,0.002433439380074122,-0.0010345031429235048,-0.0029737202106822134
32,inf,all_tasks,3,42,,0.7723385827842798,0.7144285884881778,0.6190093223975737,6,-0.012262398972674164,-0.004170080511505867,0.007373209734079103
128,inf,all_tasks,3,123,,0.7840095043327242,0.7124478697800886,0.614929021640578,5,0.0008937892657306346,0.0004787551022887141,-1.3433373752872393e-05
32,inf,all_tasks,3,123,,0.7856655073436387,0.7008529146993441,0.6134633756799963,6,-0.023715037349108105,0.005576921497924706,0.004162386160444569
64,inf,all_tasks,3,123,,0.7741369694056618,0.6992292994800757,0.616643555240355,6,-0.0001749602883785559,-0.0030214257001340418,-0.004086191424746709
128,inf,all_tasks,3,7,,0.7887045358702405,0.7032378148481564,0.6205118603060635,5,-0.0002674339797020617,0.0008206309683310823,0.0004926451992492082
32,inf,all_tasks,3,7,,0.783092626433472,0.7087551211625727,0.6157460723809592,6,-0.0005774590976987824,0.034729370162963416,0.0023839523465457287
64,inf,all_tasks,3,7,,0.7809577791784375,0.7049257316602672,0.6164312575235718,6,0.0024595195199930086,0.00030309915759592815,-0.0009161219031972369
128,inf,ihm_decomp,2,42,,0.7823090631249121,0.7186747901012289,0.488119851950923,5,-0.005320572568213239,,
32,inf,ihm_decomp,2,42,,0.7815254998163523,0.7066963219488895,0.5008022815307632,6,-0.008533348463419261,,
64,inf,ihm_decomp,2,42,,0.7914361246264697,0.6987481857764878,0.49678997117690643,3,0.009355228325524689,,
128,inf,ihm_decomp,2,123,,0.7956432429000911,0.6993980911612868,0.4990059313544822,4,0.0025139690469173233,,
32,inf,ihm_decomp,2,123,,0.7908012932422199,0.7091030387095589,0.5017423379873722,4,-0.001971221892546282,,
64,inf,ihm_decomp,2,123,,0.7915984600804423,0.7169317576381106,0.5013721374881672,6,0.0023031090903418497,,
128,inf,ihm_decomp,2,7,,0.7818918882152622,0.6892935551432088,0.4968915382438368,5,0.028077560735659465,,
32,inf,ihm_decomp,2,7,,0.7751653962481466,0.710037708291231,0.5065248728224749,5,-0.022739298676959042,,
64,inf,ihm_decomp,2,7,,0.7822882043794297,0.7160958369311606,0.49730319105972604,5,0.0028934671122571713,,
128,inf,ihm_only,1,42,,0.7948560519836212,0.4721172218037516,0.49928234450873815,4,,,
32,inf,ihm_only,1,42,,0.7817953031546585,0.51603865444324,0.5028897583668572,6,,,
64,inf,ihm_only,1,42,,0.7876860849495083,0.47483626058679795,0.500258406757213,4,,,
128,inf,ihm_only,1,123,,0.7930794310096994,0.48765753890246366,0.5022485502035734,4,,,
32,inf,ihm_only,1,123,,0.7909681632060799,0.5289621263618159,0.5054452698404471,4,,,
64,inf,ihm_only,1,123,,0.7724936630224322,0.48898146276937776,0.5017431925286074,4,,,
128,inf,ihm_only,1,7,,0.7995374799914752,0.5266082287666954,0.5031626180436102,7,,,
32,inf,ihm_only,1,7,,0.788353564804948,0.4905384799103452,0.5025282399782033,5,,,
64,inf,ihm_only,1,7,,0.7887925053620579,0.5116816474068087,0.5028025247639962,6,,,
128,5.0,all_tasks,3,42,1.69921875,0.7955507388983862,0.38093354430379744,0.5848114524583584,18,0.009742178616364418,0.009941231444212412,0.0028438588530700377
32,5.0,all_tasks,3,42,1.69921875,0.7881440704481455,0.41897482592640223,0.5867276606012077,14,-0.019343367882538588,0.004251284271012992,-0.004372542127384804
64,5.0,all_tasks,3,42,1.69921875,0.7918904825171972,0.5561576812845621,0.585894461344462,15,0.010897724245679504,-0.0019709179536891355,-0.002495731292583514
128,5.0,all_tasks,3,123,1.69921875,0.7815037341688923,0.4300542200216788,0.5785147000266659,13,-0.0028646188097091476,0.001791135907780017,-0.0012288243502122274
64,5.0,all_tasks,3,123,1.69921875,0.788478717277843,0.42959721941540663,0.580002540858345,11,0.02083069115521669,-0.003321491440120943,-0.0010676427178883128
32,5.0,all_tasks,3,123,1.69921875,0.7988736277439453,0.515323873344234,0.5855047035776374,15,0.009082113376643974,0.006353633555117994,-0.011852562816347927
128,5.0,all_tasks,3,7,1.69921875,0.7805732527399776,0.4385253807572891,0.5832212671303367,15,0.0027284242163053327,0.0026084396071829126,0.0015787275643409278
64,5.0,all_tasks,3,7,1.69921875,0.8007735873868073,0.4893425851077511,0.5844322541776238,13,0.010367411139812911,0.002006874778262933,0.0004835511896840578
32,5.0,all_tasks,3,7,1.69921875,0.784196326140089,0.6917312744575701,0.5801561358436287,13,0.03358730326649396,-0.005878436185934759,-0.009062853161285215
128,5.0,ihm_decomp,2,42,1.69921875,0.787126526429391,0.5349881042053242,0.4966348807780101,20,-0.011168063289005659,,
64,5.0,ihm_decomp,2,42,1.69921875,0.7854025057701639,0.482070763902923,0.49493609949934675,14,0.00822873303597869,,
32,5.0,ihm_decomp,2,42,1.69921875,0.7852410772181688,0.49355835828847533,0.5013782976173049,12,-0.023499125464684724,,
128,5.0,ihm_decomp,2,123,1.69921875,0.788348123393083,0.5246504749131928,0.5029838478114853,19,-0.0016414720131319883,,
64,5.0,ihm_decomp,2,123,1.69921875,0.7889856754832655,0.5024124579743161,0.4999717047723611,11,0.008926803212943923,,
32,5.0,ihm_decomp,2,123,1.69921875,0.7914968870589624,0.4991112601275009,0.5041731076586159,12,0.010533532449145518,,
64,5.0,ihm_decomp,2,7,1.69921875,0.8014764364193696,0.4793700970035458,0.507473066123584,13,-0.00571443552236852,,
128,5.0,ihm_decomp,2,7,1.69921875,0.7840992876284967,0.5276278683103379,0.5020645727591544,19,-0.00854871606134111,,
32,5.0,ihm_decomp,2,7,1.69921875,0.7915721599230946,0.5217741268762286,0.5004959769031797,9,-0.024770689606102125,,
64,5.0,ihm_only,1,42,1.69921875,0.7849717273308514,0.47051771968179895,0.504615547247032,10,,,
128,5.0,ihm_only,1,42,1.69921875,0.783116205884887,0.47280387095588916,0.4948255168622264,15,,,
32,5.0,ihm_only,1,42,1.69921875,0.7916392706694296,0.5255564384266319,0.49981506721262114,11,,,
64,5.0,ihm_only,1,123,1.69921875,0.791928572400252,0.47338028880601124,0.501449553896219,11,,,
32,5.0,ihm_only,1,123,1.69921875,0.7851603629421714,0.5206568867005934,0.49489146033167797,7,,,
128,5.0,ihm_only,1,123,1.69921875,0.7828087661145144,0.4702358260917492,0.508175111173566,13,,,
64,5.0,ihm_only,1,7,1.69921875,0.7955833873695763,0.5391235003949955,0.5079878937177414,9,,,
32,5.0,ihm_only,1,7,1.69921875,0.7950038770059538,0.4761555914827948,0.4995129890015209,9,,,
128,5.0,ihm_only,1,7,1.69921875,0.7865433884578585,0.5310324080027925,0.5061447154151227,14,,,
64,1.0,all_tasks,3,42,6.5625,0.6898404305970589,0.48804736730907017,0.5474276812230413,8,0.020891093918388445,-0.0011743059749798185,-0.0012892266402819326
128,1.0,all_tasks,3,42,6.5625,0.6635742820737222,0.5355696891477283,0.5378839486176259,16,0.030383346360971834,0.03203476490680038,0.005105809954551571
32,1.0,all_tasks,3,42,6.5625,0.7803791757167926,0.4900102882548547,0.551881768586431,25,-0.0306195721329589,0.03525729090548479,-3.990337019466416e-05
64,1.0,all_tasks,3,123,6.5625,0.6085847341190127,0.5621687319725892,0.5432794502973781,16,0.006876569529995322,-0.003181162245455198,-0.0008131283454713412
128,1.0,all_tasks,3,123,6.5625,0.706539216708762,0.4560871791809814,0.5497804449831979,16,0.0036934154861802725,-0.0097344685121227,0.002442263445118442
